index,Luminance Non-Windowed,C1,C2,C3,Time,Sound Amplitude,Respiration Synchrony,Dancer Acceleration Non-Windowed,Dancer Distance Non-Windowed,Choreographer/Performer Rating,Dramaturg Rating,Collaborator/Performer Rating,Dancer Acceleration,Dancer Distance,Audio RMS,Audio Pulse Clarity,Luminance
442,0.875818375,0.08339186,0.78812236,-0.94298077,442.0,0.0122,0.14465195,1.374617324,0.40910498,0.927272727,0.642980936,0.870279146,1.786761868,0.767016828,0.001653488,0.236621484,57.56048023
443,0.840378579,0.33997047,1.2265776,0.55506015,443.0,0.0479,-0.13170794,2.238736741,0.615343464,0.927272727,0.587521664,0.870279146,2.234266937,0.739757596,0.001828743,0.270176251,58.26942639
444,0.853087887,0.19270989,1.8891736,1.4635205,444.0,-0.0565,0.16201095,2.199291843,0.815755091,0.927272727,0.546793761,0.870279146,2.293581235,0.612197656,0.002945469,0.293190548,58.89433766
445,0.859139298,0.23786385,2.0364046,1.6973518,445.0,-0.0191,-0.38337258,2.568733411,0.992675408,0.927272727,0.49220104,0.870279146,2.350456853,0.448979175,0.001836658,0.118825067,59.03452467
446,1.19534676,-0.16117312,2.2171578,2.1096241,446.0,0.302,-0.40184414,2.601803803,0.881142038,0.927272727,0.480069324,0.870279146,2.499596591,0.275148973,0.003405988,0.135100958,58.60013153
447,1.224380606,-0.59646988,1.3663625,3.2961082,447.0,-0.249,-0.45859325,3.888224316,0.555761947,0.927272727,0.480069324,0.870279146,2.249260868,0.180567024,0.000892207,0.146026893,57.93920984
448,1.165276678,-1.1615546,0.83548552,1.787578,448.0,0.0692,-0.66145438,1.277614545,0.191499567,0.927272727,0.480069324,0.870279146,1.891625662,0.184453164,0.002161856,0.116871545,57.24997886
449,1.130438962,-1.4401062,-0.55707771,1.0077577,449.0,0.09,-0.45015833,2.457050974,0.035337158,0.927272727,0.480069324,0.870279146,1.87756134,0.227717963,0.001173707,0.107728607,56.59759133
450,1.111558323,-1.2044275,-0.91939378,0.70580524,450.0,0.0296,-0.32835019,1.852323347,0.063506777,0.927272727,0.486135182,0.870279146,1.92187933,0.262672941,0.000926864,0.111392942,56.02000896
451,1.062149481,-1.0300076,-1.4225743,1.8899938,451.0,-0.28,-0.24781492,1.321097358,0.147906436,0.927272727,0.490467938,0.870279146,1.788488992,0.300491937,0.011503807,0.136899245,55.54054527
452,0.991643754,-0.98642981,-0.83139133,1.7158415,452.0,0.153,-0.36102867,0.9748133,0.331844617,0.927272727,0.490467938,0.870279146,1.753797568,0.328694781,0.002749121,0.241755078,55.31170332
453,0.872981187,-0.71486479,-0.35719156,2.0951242,453.0,-0.15,-0.20767234,2.542446781,0.414405207,0.927272727,0.49220104,0.870279146,1.669696701,0.328961207,0.024212381,0.219312466,55.28719764
454,0.829606869,-0.88301617,0.51522869,2.4084909,454.0,0.541,-0.70570761,1.215988311,0.251339476,0.927272727,0.49220104,0.870279146,1.685269692,0.342279336,0.011466741,0.215978171,55.29927486
455,0.845975077,-1.2203438,0.79392678,3.5154927,455.0,-0.253,-0.75938559,2.675025531,0.265458231,0.927272727,0.49220104,0.870279146,1.593902932,0.371824862,0.002709207,0.234201358,55.28699135
456,0.833180868,-1.2641697,1.2562158,2.7221458,456.0,-0.331,-0.76741898,1.256232959,0.322551644,0.927272727,0.49220104,0.870279146,1.593553092,0.394441227,0.022625928,0.201970191,55.29830775
457,0.81574246,-1.3303015,0.83823764,2.0843101,457.0,0.0516,-0.80642051,3.785837635,0.388403299,0.927272727,0.502599653,0.870279146,1.789510521,0.403875223,0.019682142,0.197269137,55.30825436
458,0.839804939,-1.4519069,0.40218931,1.1090826,458.0,0.0822,-0.65914464,2.407801057,0.397916149,0.927272727,0.716637782,0.870279146,1.779745405,0.428654251,0.0049808,0.174311894,55.20187528
459,0.847738825,-1.2495072,-0.80456269,0.23765387,459.0,0.444,-0.60243797,2.873275795,0.399751393,0.927272727,0.727036395,0.870279146,1.796348078,0.435377616,0.001871637,0.158566176,55.09870563
460,0.833413179,-0.93056524,-1.0400054,-1.36824,460.0,-0.124,-0.076645061,1.049326044,0.401623158,0.927272727,0.727036395,0.870279146,1.941613405,0.441402364,0.00502559,0.121855706,55.03844665
461,0.833138343,-1.0768892,-1.2555127,-1.4989405,461.0,0.165,-0.15148026,1.131130215,0.401394006,0.927272727,0.714904679,0.870279146,2.103290944,0.45074512,0.012433909,0.114636608,54.96554727
462,0.835847139,-0.5718019,-1.2639798,-1.6534351,462.0,0.00624,-0.1132865,1.479745827,0.580878887,0.927272727,0.633448873,0.870279146,1.979086913,0.451321341,0.003477089,0.109566787,54.9501854
463,0.805163633,-0.31641898,-1.1080974,-0.65618449,463.0,-0.207,-0.20998168,0.829857681,0.476115826,0.927272727,0.633448873,0.870279146,2.254517037,0.42365231,0.003869913,0.080603383,54.99205442
464,0.802615894,1.1984147,-0.9261812,0.58947217,464.0,0.0249,-0.26300925,1.402184646,0.436081571,0.927272727,0.633448873,0.870279146,2.258565036,0.4271746,0.004823678,0.114465002,55.0153493
465,0.808425436,1.9198493,-0.42233014,1.0071658,465.0,-0.754,-0.13266779,3.78968368,0.436213714,0.927272727,0.714038128,0.870279146,2.185910017,0.425385833,0.026776781,0.115377562,55.06373111
466,0.78547052,2.0208845,1.3796017,1.0672604,466.0,0.588,-0.020113692,2.097031759,0.460003379,0.927272727,0.714038128,0.870279146,1.98228301,0.409812341,0.010018804,0.156082519,55.10593238
467,0.814378131,1.9636317,1.8237993,1.0335467,467.0,0.263,-0.18794821,4.2119723,0.399398748,0.927272727,0.714038128,0.870279146,1.966003199,0.421991619,0.012444306,0.128949396,55.13514307
468,0.826933572,1.8580205,1.7831999,0.12118745,468.0,-0.151,-0.27167487,1.007377545,0.410713695,0.927272727,0.710571924,0.834154351,1.653441756,0.453458318,0.007128293,0.109156309,55.13457097
469,0.797229209,0.62870508,1.6201257,-1.01345,469.0,1.799584839,-0.46352142,1.084128361,0.420002852,0.927272727,0.688041594,0.816912972,1.532719024,0.454686685,0.01574962,0.115511773,55.18705995
470,0.83593855,-0.31617144,1.5408443,-0.75233293,470.0,-1.72801591,-0.98062027,1.444771355,0.375021904,0.927272727,0.688041594,0.733990148,1.381289621,0.473251399,0.012897356,0.182713412,55.19277595
471,0.845297411,-0.084499568,0.61468482,-0.58845842,471.0,0.904,-0.99338889,1.436886534,0.401431897,0.927272727,0.664644714,0.720032841,1.366037798,0.520918255,0.014445084,0.185642317,55.22425856
472,0.802524826,0.41744837,0.7035808,-0.44952083,472.0,-0.295,-0.94452453,1.553355818,0.60558799,0.927272727,0.656845754,0.711001642,1.323465013,0.535926401,0.033714878,0.199418968,55.23512409
473,0.832422573,0.9725253,0.85681677,-0.63346237,473.0,-0.911,-0.78095126,1.437029228,0.484615853,0.927272727,0.655979203,0.711001642,1.429143539,0.508763235,0.032306113,0.18930464,55.29176416
474,0.82971692,1.5593282,1.5589038,-0.24225873,474.0,0.487,-0.32307243,1.175569133,0.422231406,0.923636364,0.655979203,0.610837438,1.564107731,0.484195728,0.007501709,0.186626906,55.34190341
475,0.832599947,1.766643,1.7159756,-0.61847496,475.0,0.0122,-0.13343585,1.199542971,0.618219807,0.865454545,0.655979203,0.610837438,1.641706099,0.454936597,0.021190668,0.190621404,55.33325518
476,0.836735463,1.496959,1.9238141,-1.0134925,476.0,-0.198,-0.095015608,1.637308707,0.625643519,0.838181818,0.674176776,0.610837438,1.699457746,0.385234164,0.013253864,0.173529508,55.29689986
477,0.841230514,0.55431747,1.5003251,-0.58154488,477.0,0.489,0.12385527,1.206482643,0.447623915,0.792727273,0.674176776,0.610837438,1.881403647,0.341552694,0.008912566,0.224179335,55.32411007
478,0.836089241,-0.047670074,1.1224917,1.0179127,478.0,-0.103,-0.009753931,1.741918021,0.360239407,0.790909091,0.673310225,0.610837438,1.978863078,0.335967054,0.017367229,0.213167097,55.3217788
479,0.848740002,-0.39642739,0.3887417,1.0318048,479.0,0.159,-0.34011748,2.486628203,0.358484059,0.778181818,0.620450607,0.610837438,1.960069185,0.34232618,0.017238579,0.262365968,55.31207273
480,0.852006303,-0.58161336,-0.40117782,1.0893997,480.0,0.204,-0.57131052,3.495555026,0.358675475,0.767272727,0.608318891,0.610837438,2.025325146,0.334726844,0.015869871,0.279987692,55.38263404
481,0.8150297,-0.48879042,-0.62328637,0.88176507,481.0,0.397,-0.46942309,1.334333717,0.297252916,0.767272727,0.606585789,0.598522167,2.099483449,0.367947,0.028612699,0.280720864,55.45676367
482,0.840256288,-0.2880021,-0.93535888,0.29191688,482.0,-0.661,-0.66113979,2.767868978,0.384611027,0.767272727,0.606585789,0.562397373,2.019379156,0.405624353,0.005601887,0.271935656,55.43403361
483,0.839868843,-0.25490311,0.40730029,-0.92178178,483.0,-0.519,-0.62962371,1.698752241,0.353139262,0.767272727,0.617850953,0.532019704,1.985490169,0.437119777,0.010832741,0.338352119,55.48323101
484,0.833104179,-0.33250406,0.58141667,-1.0843594,484.0,0.882,-0.29026422,1.424942441,0.359146556,0.767272727,0.622183709,0.45320197,1.926205294,0.470175992,0.005752627,0.350016004,55.51773313
485,0.852790436,-0.10092191,1.5132251,-1.0834706,485.0,-0.0391,-0.19495443,1.837451956,0.310587339,0.767272727,0.622183709,0.449917898,1.945368221,0.470041099,0.005763304,0.202166044,55.52744801
486,0.862345931,0.073667832,1.4627224,-1.1380994,486.0,-0.74,0.29230964,1.607641392,0.524452695,0.767272727,0.593587522,0.428571429,1.864195735,0.461141174,0.009634999,0.145230574,55.50293855
487,0.842651949,-0.43616509,1.3318173,-0.82462543,487.0,0.593,0.10361015,1.47183367,0.531472778,0.767272727,0.524263432,0.366995074,1.764946333,0.465422124,0.00254429,0.157646709,55.52239015
488,0.831015001,-0.60771233,-0.051936224,-0.43081462,488.0,0.707,0.077598922,0.904669536,0.521259182,0.767272727,0.519930676,0.351395731,1.639226756,0.467779147,0.015076479,0.137268729,55.44508254
489,0.866580998,-0.72213286,-0.009955429,-0.48712477,489.0,-0.984,-0.59308803,1.358652139,0.454358405,0.767272727,0.519930676,0.351395731,1.578747173,0.457910836,0.017052763,0.106282045,55.36658829
490,0.864013589,-0.477099,0.070950501,-0.25668073,490.0,0.819,-0.35475492,0.87217121,0.255427994,0.767272727,0.519930676,0.351395731,1.628439017,0.478035779,0.023170574,0.087585683,55.32111086
491,0.851767532,-0.55651051,0.18415655,0.67343217,491.0,-0.475,-0.50339162,1.812318333,0.526473162,0.767272727,0.544194107,0.361247947,1.614086384,0.511391201,0.016986595,0.090740334,55.34374837
492,0.863200863,-0.33533549,0.40053472,2.2060857,492.0,0.485,-0.25288171,1.371773972,0.544500222,0.767272727,0.636048527,0.366174056,1.576480202,0.523213473,0.006542634,0.086734204,55.33723091
493,0.820656424,-0.21643992,0.87607068,1.6431504,493.0,-0.13,-0.32875451,1.772749983,0.541735655,0.767272727,0.636048527,0.366174056,1.526330319,0.548214487,0.010017024,0.114467476,55.38119082
494,0.817435837,-0.034895159,1.3501756,1.8769482,494.0,-0.169,-0.3213262,3.010114586,0.410839879,0.767272727,0.636048527,0.366174056,1.545674796,0.578886811,0.005352883,0.093018461,55.36971157
495,0.846505412,-0.7185002,0.84175009,1.4624062,495.0,-0.164,-0.29277927,2.95024182,0.473042777,0.767272727,0.636048527,0.366174056,1.375172235,0.585393677,0.005384454,0.116727763,55.31561439
496,0.840121661,-0.91608316,0.49468288,0.54647255,496.0,-0.506,-0.16587891,3.137553717,0.595062788,0.767272727,0.636048527,0.351395731,1.526128164,0.55181548,0.007606448,0.102483076,55.24309335
497,0.851411237,-1.0568999,0.32358432,-1.2559335,497.0,0.39,0.017659539,1.234983195,0.644334051,0.767272727,0.636048527,0.351395731,1.662305228,0.500298768,0.009570838,0.138759627,55.2052444
498,0.84045068,-1.1910805,0.688133,-0.99564588,498.0,2.011427928,0.080342717,1.047449751,0.717912107,0.767272727,0.635181976,0.351395731,1.699405495,0.437481837,0.049708623,0.130364679,55.18507189
499,0.833498469,-1.0707228,0.86094803,0.21668953,499.0,-1.53,0.20821461,1.252074824,0.543143861,0.767272727,0.586655113,0.351395731,1.751476614,0.382699176,0.008715916,0.119111315,55.16260202
500,0.822134684,-0.85958004,0.76544446,1.4104557,500.0,-0.00513,-0.12658331,2.546159,0.396523489,0.767272727,0.539861352,0.351395731,1.973007326,0.401329338,0.01083846,0.113708706,55.09788911
501,0.816272834,-0.18296653,0.80188125,2.0023525,501.0,-0.182,-0.07026922,1.537259505,0.363487345,0.767272727,0.506065858,0.351395731,1.894286636,0.442423079,0.021868738,0.120424171,55.09624341
502,0.822639082,-0.071431726,1.3998774,2.6194272,502.0,0.433,-0.42904526,1.775258633,0.362807564,0.767272727,0.478336222,0.351395731,1.846543104,0.497304845,0.007435304,0.118328494,55.11823081
